Comment,Description,Designator,Footprint,LibRef,Quantity

"C1608X5R1A106K080AC","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603","C1, C9, C10, C11, C12","FP-C1608-080-0_1-MFG","CMP-2000-04979-3","5"
"GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C2, C8","FP-GRM15-MFG","CMP-2100-03641-2","2"
"EMK105BJ105KV-F","None","C3, C5","FP-0402-L_1_0_0_05-W_0_5-IPC_A","CMP-14477-000104-2","2"
"C0603C105K4RACTU","","C6","CAPC1608X90X35LL15T15","CMP-2006-02298-2","1"
"SP3031-01ETG","TVS DIODE 5V 7.5V SOD882","D1","FP-SP3031-MFG","CMP-08607-000052-1","1"
"SMAJ6.0A","TVS DIODE 6V 10.3V SMA","D2","FP-SMA-MFG","CMP-07401-000002-1","1"
"LTST-C193KRKT-2A","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_","D3, D4, D5, D6, D7, D8, D9, D18","0603","LTST-C193KRKT-2A","8"
"LTST-C191TBKT-5A","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_","D10, D11, D12, D13, D15, D16, D17, D19","0603","LTST-C191TBKT-5A","8"
"V10P10-M3/86A","DIODE SCHOTTKY 100V 10A TO277A","D14","FP-95570-MFG","CMP-2000-07483-2","1"
"PEC11L-4220F-S0015","ROTARY ENCODER MECHANICAL 15PPR","ENC1, ENC2","FP-PEC11L-4220F-S0015-MFG","CMP-07421-000002-1","2"
"691102710002","","J1, J3","691102710002","CMP-1502-03258-2","2"
"TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J2","TYPE-C-31-M-12","TYPE-C-31-M-12","1"
"SI4599DY-T1-GE3","MOSFET N/P-CH 40V 6.8A 8SOIC","Q1","FP-C-06527-IPC_B","CMP-02550-000305-1","1"
"CRCW0402680RFKED","","R1, R2, R4, R5, R6, R7, R12, R13, R14, R16, R17, R18, R21, R23, R25, R29","RESC1005X40X25ML05T05","CMP-2002-00166-1","16"
"ERJ-2GEJ103X","","R3, R10, R11, R15, R19, R20, R22, R26, R27, R28, R30","RESC1005X40X25ML05T05","CMP-2002-00433-1","11"
"RC0402FR-075K1L","","R8, R9","RESC1005X40X25NL05T10","CMP-2002-07753-1","2"
"ERJ-2GEJ102X","","R24","RESC1005X40X25NL05T05","CMP-2002-00432-1","1"
"ERJ-2RKF1003X","RES SMD 100K OHM 1% 1/10W 0402","R31","FP-ERJ2RK-IPC_C","CMP-2002-00608-4","1"
"ERJ-2RKF2002X","RES SMD 20K OHM 1% 1/10W 0402","R32","FP-ERJ2RK-MFG","CMP-2002-00759-4","1"
"FSMSM","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk","SW1, SW2","TECO-FSMSM-2_V","CMP-2000-07511-1","2"
"ESP32-S3-WROOM-1U-N16R8","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount","U1","XCVR_ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U-N16R8","1"
"MCP23017T-E/ML","16-Bit I/O Expander with Serial Interface, 28-Pin QFN, Extended Temperature, Tape and Reel","U2","QFN-ML28_M","CMP-0186-00119-2","1"
"LD1117S50TR","Fixed Low Drop Positive Voltage Regulator, 5V, 4-Pin SOT-223, Tape and Reel","U3","SOT-223_L","CMP-0244-00312-1","1"
"LD1117AS33TR","1A, Low Drop Positive Voltage Regulator, 3.3V, 4-Pin SOT-223, Tape and Reel","U4","SOT-223_M","CMP-0244-00316-1","1"
"SHT31-DIS-B2.5KS","SENSOR HUMID/TEMP 5V I2C 2% SMD","U?","FP-SHT31-DIS-B2_5KS-MFG","CMP-144040-000009-1","1"
